Photo ID,ID,Date Taken,Time of Day,Exact Time,Category,On Campus,Location Type,Specific Location,Emotion Tag,Satisfaction Rate (0-10),Color Mood,Short Description,Reflection / Diary Note,Event Type / Organized By
IMG_9694,1,2025-11-11,Noon,13:17,Food,n,Restaurant,Xibei Cuisine,warm,9,warm,"Freezing with heavy wind, feel so good to have a warm soup and noodles",,
IMG_9714,2,2025-11-12,Noon,12:16,Food,y,Dining Hall,Rocky,cold,4,,,,
IMG_9664,3,2025-11-10,Evening,17:44,Food,y,Dining Hall,Rocky,cozy,6,,,,
1762672803304915,4,2025-11-8,Night,20:00,Food,y,Dorm,Lakeside,happy,10,,PCT dinner party; so delicious,,
IMG_9631,5,2025-11-9,Morning,8:18,Food,y,Classroom,Friend Center,cold,2,,,,
IMG_9645,6,2025-11-9,Night,21:37,Animal,y,Campus,Frist Campus Center,warm,8,,fox going back home really quick,,
IMG_9586,7,2025-11-9,Afternoon,14:39,Food,y,Classroom,Friend Center,cold,3,,,,
IMG_9564,8,2025-11-7,Evening,18:41,Food,y,Classroom,Friend Center,cozy,6,,,,
IMG_9558,9,2025-11-7,Noon,13:16,Food,y,Dining Hall,Whitman,cozy,7,,a whole week of stir fry soooo good!,,
IMG_9734,10,2025-11-13,Morning,10:01,Food,y,Dining Hall,Rocky,cozy,6,,haven't had breakfirst in dhall for a long time; omelet quite good!,,
IMG_9735,11,2025-11-13,Afternoon,14:45,Food,y,Campus,Frist Campus Center,cozy,7,,"late meal pasta super delicious, much better than Rocky pasta",,
IMG_9741,12,2025-11-13,Noon,21:57,Food,y,Campus,Frist Campus Center,cold,1,,"cold egg salad, first time trying it.... tasteless",,
IMG_9744,13,2025-11-14,Morning,10:38,Food,y,Dining Hall,Rocky,cold,2,,woke up too late; missed the omelet bar (arrived dhall exactly 5 min after omelet bar closed),,
IMG_9745,14,2025-11-14,Noon,13:16,Food,y,Dining Hall,CJL,cold,2,,Bad Foodn + Figured out a calcualtion mistake during quiz; so sad,,
IMG_9748,15,2025-11-14,Evening,18:12,Food,y,Dining Hall,Whitman,warm,8,,"never imagine I can have hot salmon & hot potato & hot mushroom in dhall, soooo good!",,
IMG_9752,16,2025-11-15,Morning,9:08,Food,y,Campus,Wawa,cold,4,, Ready for equestrian lesson! Wawa burrito is not bad,,
IMG_9754,17,2025-11-15,Noon,12:49,Food,n,Restaurant,Kungfu Tea,happy,10,,"going out & eat on Nassau St. every Saturday, so satisfied!",,
IMG_9755,18,2025-11-15,Evening,18:18,Food,y,Dorm,Kungfu Tea,warm,8,,"Food take out from lunch, still good with microwave",,
IMG_9756,19,2025-11-15,Night,20:38,Food,y,Campus,Frist Campus Center,cozy,7,,TigerTies food so good!,,
IMG_9776,20,2025-11-16,Noon,12:34,Food,n,Restaurant,NYC,warm,8,,yammy BBQ,,
IMG_9803,21,2025-11-16,Evening,17:57,Food,y,Dorm,Ustore,cold,5,,"having 2 meetings back to back,; no time to go to dhall; microwaved food from ustore; too sweet",,
IMG_9807,22,2025-11-17,Noon,12:38,Food,y,Restaurant,Yeh,warm,9,,"waited in line for > 25 min to get ramen but ate for < 20 min; learned that next time I'll go to yeh after 1pm, so there will be no people in line",,
IMG_9552,23,2025-11-06,Night,20:39,Food,y,Campus,Frist Campus Center,cold,5,,late meal,,
IMG_9530,24,2025-11-04,Night,20:44,Food,y,Campus,Frist Campus Center,cold,5,,normal late meal,,
IMG_9531,25,2025-11-05,Noon,12:22,Food,y,Dining Hall,Whitman,warm,8,,stir fry insanely good!,,
IMG_9542,26,2025-11-06,Noon,13:25,Food,y,Dining Hall,Whitman,warm,9,,"stir fry without line, 1pm good time for lunch",,
IMG_9487,27,2025-11-02,Evening,17:35,Food,y,Dining Hall,Rocky,cozy,7,,RoMa not bad today,,
IMG_9505,28,2025-11-03,Noon,12:47,Food,y,Dining Hall,Whitman,cozy,7,,,,
IMG_9497,29,2025-11-02,Night,21:59,Food,y,Dorm,Rocky,cozy,7,,so hungry today; ate last package of cup noodle,,
IMG_9509,30,2025-11-03,Evening,17:46,Food,y,Dining Hall,Whitman,cozy,7,,whitman dinner with many friends; went to gym after dinner,,
IMG_9518,31,2025-11-04,Noon,13:16,Food,y,Dining Hall,Whitman,cozy,6,,Lo mein is not as good as rice,,
IMG_9479,32,2025-11-02,Noon,10:52,Food,y,Dining Hall,Rocky,cozy,6,,delicious bruch; shape of omelet is different today,,
IMG_9460,33,2025-11-01,Morning,9:11,Food,y,Campus,Wawa,cold,5,,"typical Saturday, going to equestrain",,
IMG_9462,34,2025-11-01,Noon,12:03,Food,n,Restaurant,Kungfu Tea,warm,9,,"First time in Kungfu Tea, actually good!",,
IMG_9467,35,2025-11-01,Evening,18:19,Food,y,Dorm,Common Room,cozy,7,,So excited for microwave my take out; forgot to bring proxy with me -> locked out of form; my rm saved me,,
IMG_9343,36,2025-10-31,Evening,17:03,Food,y,Dining Hall,Rocky,cold,2,,R&R; fun event but the house is tastless,,
IMG_9323,37,2025-10-30,Evening,19:20,Food,y,Dining Hall,Rocky,warm,8,,Too good for Rocky,,
IMG_9319,38,2025-10-30,Noon,13:14,Food,y,Dining Hall,Rocky,warm,8,,Too good for Rocky,,
IMG_9306,39,2025-10-29,Evening,17:51,Food,y,Dining Hall,Rocky,cozy,6,,Too hard to eat,,
IMG_9298,40,2025-10-29,Noon,12:08,Food,y,Dining Hall,Rocky,cozy,6,,Not bad but not good,,
IMG_9295,41,2025-10-28,Night,20:36,Food,y,Campus,Frist Campus Center,warm,8,,"Chef Special in Frist, the shrimp and vegetables are good",,
IMG_9294,42,2025-10-28,Evening,17:48,Food,y,Dining Hall,Rocky,cozy,6,,,,
IMG_9289,43,2025-10-28,Morning,8:53,Food,y,Dining Hall,Rocky,cozy,6,,,,
IMG_9282,44,2025-10-27,Evening,17:51,Food,y,Campus,Friend Center,happy,10,,exceptionally good!!!,,
IMG_9276,45,2025-10-27,Afternoon,15:14,Food,y,Campus,Frist Campus Center,warm,8,,good,,
IMG_9274,46,2025-10-27,Noon,12:11,Food,y,Dining Hall,Rocky,cold,2,,so bad...,,
IMG_9272,47,2025-10-27,Morning,8:44,Food,y,Dining Hall,Rocky,cold,5,,cereal not bad,,
IMG_9812,48,2025-11-18,Noon,12:18,Food,y,Restaurant,O Fresh,happy,10,,so cold today; really need something warm to eat!,,
IMG_9247,49,2025-10-25,Afternoon,15:21,Food,n,Restaurant,Xibei Cuisine,warm,8,,the lamp tasts a bit weird; not very fresh,,
IMG_9249,50,2025-10-25,Night,20:00,Food,y,Dining Hall,Rocky,cold,3,,Locked in for COS assignment and nearly forgot dinner; had soup in dhall just before it closed,,
IMG_9255,51,2025-10-26,Noon,12:02,Food,y,Restaurant,Lan Ramen,happy,10,,lunch with rm on Nassau St. Sour Sweet Ribs were gorgeous,,